name,group
Eberhart Ave & 61st St,hyde_park
Racine Ave & Garfield Blvd,hyde_park
Damen Ave & 59th St,hyde_park
Marshfield Ave & 59th St,hyde_park
Racine Ave & 61st St,hyde_park
Racine Ave & 65th St,hyde_park
Ashland Ave & 66th St,hyde_park
Seeley Ave & Garfield Blvd,hyde_park
May St & 69th St,hyde_park
Vincennes Ave & 75th St,hyde_park
Woodlawn Ave & 75th St,hyde_park
Evans Ave & 75th St,hyde_park
Vernon Ave & 75th St,hyde_park
State St & 76th St,hyde_park
Carpenter St & 63rd St,hyde_park
Cottage Grove Ave & 78th St,hyde_park
Michigan Ave & 71st St,hyde_park
Kimbark Ave & 53rd St,hyde_park
Stewart Ave & 63rd St (*),hyde_park
Eggleston Ave & 69th St (*),hyde_park
Ellis Ave & 58th St,hyde_park
Prairie Ave & Garfield Blvd,hyde_park
Halsted St & 59th St,hyde_park
Halsted St & 73rd St,hyde_park
Lake Park Ave & 56th St,hyde_park
Ashland Ave & Garfield Blvd,hyde_park
Ashland Ave & 73rd St,hyde_park
Stony Island Ave & 64th St,hyde_park
Cottage Grove Ave & 51st St,hyde_park
Jeffery Blvd & 67th St,hyde_park
South Shore Dr & 67th St,hyde_park
Stony Island Ave & 71st St,hyde_park
63rd St Beach,hyde_park
Stony Island Ave & 67th St,hyde_park
Damen Ave & 51st St,hyde_park
Cottage Grove Ave & 67th St,hyde_park
MLK Jr Dr & 63rd St,hyde_park
Shore Dr & 55th St,hyde_park
Woodlawn Ave & 55th St,hyde_park
Blackstone Ave & Hyde Park Blvd,hyde_park
Broadway & Sheridan Rd,uptown
Southport Ave & Clark St,uptown
Broadway & Wilson Ave,uptown
Broadway & Argyle St,uptown
Paulina St & Montrose Ave,uptown
Lincoln Ave & Belle Plaine Ave,uptown
Sheridan Rd & Buena Ave,uptown
Leavitt St & Lawrence Ave,uptown
Clarendon Ave & Gordon Ter,uptown
Ravenswood Ave & Berteau Ave,uptown
Damen Ave & Sunnyside Ave,uptown
Southport Ave & Irving Park Rd,uptown
Sheridan Rd & Lawrence Ave,uptown
Clark St & Winnemac Ave,uptown
Clark St & Leland Ave,uptown
Clark St & Berwyn Ave,uptown
Damen Ave & Foster Ave,uptown
Marine Dr & Ainslie St,uptown
Francisco Ave & Foster Ave,uptown
Lincoln Ave & Winona St,uptown
Ravenswood Ave & Lawrence Ave,uptown
Washtenaw Ave & Lawrence Ave,uptown
Kedzie Ave & Leland Ave,uptown
Manor Ave & Leland Ave,uptown
Rockwell St & Eastwood Ave,uptown
Albany Ave & Montrose Ave,uptown
California Ave & Montrose Ave,uptown
Campbell Ave & Montrose Ave,uptown
Oakley Ave & Irving Park Rd,uptown
Sheridan Rd & Montrose Ave,uptown
Clark St & Montrose Ave,uptown
Wolcott (Ravenswood) Ave & Montrose Ave,uptown
Western Ave & Leland Ave,uptown
Sheridan Rd & Irving Park Rd,uptown
Damen Ave & Leland Ave,uptown
Lincoln Ave & Sunnyside Ave,uptown
